Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
94431,58.50,-0.5436,0.2384,-0.3876,0.5421,-0.1234,0.0987,-0.4567,0.3456,-0.2345,0.1234,-0.0876,0.4567,-0.3456,0.2345,-0.1234,0.0987,-0.4321,0.3210,-0.2109,0.1098,-0.0987,0.4321,-0.3210,0.2109,-0.1098,0.0876,-0.3456,0.2109
150823,2897.45,2.8543,-3.2109,4.1234,-2.8765,3.4567,-2.1234,2.8901,-3.4567,2.3456,-1.9876,3.2345,-2.7654,2.1098,-3.3210,2.8765,-2.4321,3.1234,-2.5678,2.7890,-3.2109,2.4567,-2.8901,3.0123,-2.6789,2.5432,-3.1234,2.9876,-2.3456
45680,125.75,-0.3210,0.1876,-0.2345,0.4123,-0.0987,0.1234,-0.3456,0.2876,-0.1876,0.0654,-0.0543,0.3210,-0.2654,0.1876,-0.0765,0.0456,-0.3210,0.2543,-0.1654,0.0876,-0.0654,0.3456,-0.2345,0.1765,-0.0876,0.0543,-0.2543,0.1654
155200,3450.00,3.1234,-2.8765,3.8901,-3.2109,2.9876,-2.5432,3.2345,-2.7654,3.0123,-2.4567,2.8901,-3.1234,2.5678,-2.9876,3.4567,-2.3456,3.2109,-2.8765,3.1234,-2.4321,2.7654,-3.0123,3.5678,-2.6789,3.1098,-2.9876,3.3210,-2.5432
73250,42.30,-0.4123,0.2654,-0.3210,0.4876,-0.1654,0.0876,-0.3876,0.3210,-0.2109,0.1543,-0.0987,0.3876,-0.3210,0.2109,-0.1087,0.0765,-0.3654,0.2987,-0.1987,0.1123,-0.0876,0.3654,-0.2876,0.1987,-0.1123,0.0654,-0.2987,0.1876
162450,5234.99,3.8901,-4.1234,4.5678,-3.6789,3.7890,-3.2345,3.9876,-4.2109,3.4567,-3.1234,3.8765,-3.5678,3.2109,-4.0123,3.6789,-3.0987,3.9234,-3.4567,3.7890,-3.2109,3.1234,-3.6789,4.1234,-3.5678,3.8901,-3.7654,3.9876,-3.4567
120500,189.99,-0.2345,0.3456,-0.2876,0.5234,-0.0876,0.1456,-0.4234,0.3765,-0.1765,0.0987,-0.0654,0.4234,-0.3456,0.1876,-0.0456,0.0987,-0.2987,0.3210,-0.1567,0.1234,-0.0987,0.3987,-0.2234,0.1765,-0.1234,0.0876,-0.3210,0.1567
98765,1234.50,2.3456,-2.5678,2.8901,-2.4567,2.1234,-2.0987,2.7654,-2.8765,2.1098,-1.9876,2.4567,-2.3456,2.0123,-2.7654,2.5432,-2.1234,2.6789,-2.3210,2.4567,-2.098,1.8765,-2.1234,2.8901,-2.4567,2.3456,-2.5432,2.7654,-2.1234
56789,35.00,-0.4567,0.1543,-0.4321,0.3876,-0.1987,0.0654,-0.2876,0.2543,-0.2234,0.0876,-0.0765,0.2987,-0.2654,0.1654,-0.0987,0.0543,-0.3876,0.2234,-0.1876,0.0765,-0.0543,0.3210,-0.1876,0.1234,-0.0765,0.0456,-0.2234,0.1098
132890,4567.89,3.4567,-3.8901,4.2345,-3.5678,3.3210,-2.8765,3.6789,-3.9876,3.2109,-2.7654,3.5678,-3.2345,3.0123,-3.8765,3.7890,-3.1234,3.8901,-3.4567,3.6789,-3.1098,3.0123,-3.5678,4.0234,-3.6789,3.7654,-3.8901,4.1234,-3.5678
89234,245.50,-0.3654,0.2109,-0.4234,0.4567,-0.1123,0.0876,-0.3210,0.2987,-0.1654,0.1098,-0.0876,0.3654,-0.2987,0.1765,-0.0654,0.0543,-0.2654,0.2234,-0.1345,0.0987,-0.0765,0.3210,-0.2109,0.1654,-0.1087,0.0765,-0.2234,0.1543
145670,8934.75,4.1234,-4.5678,5.2345,-4.1234,4.3210,-3.8765,4.5678,-4.8901,4.2109,-3.8765,4.3456,-4.0123,3.8901,-4.5678,4.3210,-3.6789,4.2345,-4.1234,4.0123,-3.7654,3.9876,-4.2345,5.1234,-4.3210,4.1098,-4.5678,4.8901,-4.2345
72100,95.25,-0.2876,0.1654,-0.2987,0.3210,-0.0876,0.1123,-0.2345,0.1876,-0.1456,0.0654,-0.0543,0.2987,-0.2109,0.1345,-0.0765,0.0432,-0.2567,0.1876,-0.1123,0.0876,-0.0654,0.2654,-0.1765,0.1234,-0.0876,0.0543,-0.1876,0.1345
161234,3125.00,2.9876,-2.6789,3.4567,-2.8901,2.7654,-2.3456,3.1234,-2.7654,2.8901,-2.4567,3.0123,-2.8765,2.6789,-3.1234,2.9876,-2.5432,3.0987,-2.7654,2.8765,-2.3210,2.5678,-2.9876,3.4567,-2.8901,2.7654,-3.0123,3.2345,-2.6789
55432,82.45,-0.3456,0.1987,-0.3210,0.4234,-0.1234,0.0765,-0.2987,0.2654,-0.1876,0.0987,-0.0654,0.3210,-0.2345,0.1654,-0.0876,0.0543,-0.3123,0.2456,-0.1567,0.0876,-0.0765,0.2987,-0.1876,0.1345,-0.0987,0.0654,-0.2456,0.1234
